7,Math,What is 15% of 80?,Convert the percentage to a decimal first
7,Math,Solve for x: 2x + 5 = 15,Subtract 5 from both sides
7,Math,What is the area of a rectangle with length 8cm and width 5cm?,Multiply length by width
7,Math,If a triangle has angles of 30° and 60° what is the third angle?,Remember that angles in a triangle sum to 180°
7,Math,What is the value of 3² + 4²?,Calculate each square then add them
7,Math,What is the perimeter of a square with side length 7cm?,Multiply the side length by 4
7,Math,Simplify: 3(x + 2) - 5,Distribute the 3 first
7,Math,What is 2/5 of 35?,Multiply 35 by the fraction
7,Math,Convert 0.625 to a fraction in its simplest form,Try multiplying by powers of 10
7,Math,What is the median of the numbers 7 9 2 5 11?,Arrange the numbers in ascending order first
7,Math,Calculate 2³ x 2²,Use the rule of exponents for multiplication
7,Math,What is the equivalent decimal for 3/4?,Divide the numerator by the denominator
7,Math,What is the sum of angles in a triangle?,This is a fundamental property of triangles
7,Math,Solve for y: y - 3 = 12,Add 3 to both sides
7,Math,What is the value of 4 x 3 + 2 x 5?,Follow the order of operations (PEMDAS)
7,Math,Find the mean of 4 7 8 9 12,Add all numbers and divide by the count
7,Math,If a rectangle has a perimeter of 26cm and a width of 5cm what is its length?,Use the formula P = 2(l + w)
7,Math,What is 20% of 150?,Convert percentage to decimal and multiply
7,Math,What is the value of 3 + 4 x 2?,Multiplication comes before addition
7,Math,What is the LCM of 6 and 8?,List multiples of each number to find the smallest common one
7,Science,What is the chemical symbol for oxygen?,It's a single letter
7,Science,What is the main gas in Earth's atmosphere?,It makes up about 78% of the air
7,Science,What are the three states of matter?,Think about the different forms water can take
7,Science,What is photosynthesis?,It involves converting light energy to chemical energy
7,Science,What is the largest organ in the human body?,It covers your entire body
7,Science,What type of energy transformation occurs in a light bulb?,Think about what goes in and what comes out
7,Science,What is the Earth's primary source of energy?,It provides light and heat
7,Science,What are the building blocks of all living things?,They are the basic structural units of life
7,Science,What is the process of water changing from liquid to gas called?,It happens when water is heated
7,Science,What is the force that pulls objects toward the center of the Earth?,It keeps us on the ground
7,Science,What are the primary colors of light?,These colors combine to make white light
7,Science,What is the pH of pure water?,It's considered neutral
7,Science,What are the major parts of a plant?,They each have specific functions
7,Science,What is the most abundant element in the universe?,It's the first element on the periodic table
7,Science,What is the process of a solid changing directly to a gas called?,Dry ice does this at room temperature
7,Science,What is the function of the heart?,It's a muscular organ
7,Science,What is the scientific name for the sound waves that humans cannot hear?,These have frequencies above 20000 Hz
7,Science,What are animals that eat both plants and animals called?,Humans are an example
7,Science,What is the Earth's position in the solar system?,It's in the "Goldilocks zone"
7,English,What is a noun?,It's often the subject of a sentence
7,English,What is a verb?,It tells what the subject does
7,English,What is an adjective?,It adds detail to nouns
7,English,What is a pronoun?,Examples include "he" "she" and "it"
7,English,What is a simile?,It compares two different things
7,English,What is a metaphor?,It doesn't use "like" or "as"
7,English,What is alliteration?,Peter Piper picked a peck of pickled peppers
7,English,What is the main purpose of a topic sentence?,It usually appears at the beginning
7,English,What is a synonym?,Big and large are examples
7,English,What is an antonym?,Hot and cold are examples
7,English,What is a homophone?,Their there and they're are examples
7,English,What is personification?,The wind whispered through the trees
7,English,What is the past tense of the verb "run"?,It's an irregular verb
7,English,What is a compound word?,Sunflower and football are examples
7,English,What is a clause?,It can be independent or dependent
7,English,What is a prefix?,Un- re- and pre- are examples
7,English,What is a suffix?,-ful -less and -ly are examples
7,English,What is the difference between "your" and "you're"?,"Your book" vs "You're reading"
7,English,What is onomatopoeia?,Buzz splash and bang are examples
7,English,What is the main difference between fiction and non-fiction?,One tells stories; the other provides information
7,History,Who was the first European explorer to reach Australia?,He arrived in 1606
7,History,What year did the First Fleet arrive in Australia?,It was on January 26th
7,History,Who was the first Prime Minister of Australia?,He took office after Federation
7,History,In what year did the Australian Gold Rush begin?,It started in New South Wales
7,History,What was the name of Captain Cook's ship when he discovered Australia?,It was a Royal Navy research vessel
7,History,When did Aboriginal Australians first arrive in Australia?,They are the world's oldest continuous civilization
7,History,What was the name of the policy that removed Aboriginal children from their families?,It lasted from approximately 1910 to 1970
7,History,In what year did Australia become a Federation?,It happened on January 1st
7,History,Who was the first woman elected to Australian Parliament?,She was elected in 1921
7,History,What was the name of the ancient supercontinent that included Australia?,It existed about 550 million years ago
7,History,When did women gain the right to vote in Australia?,Australia was one of the first countries to grant this right
7,History,What was the Eureka Stockade?,It occurred in 1854
7,History,Who was the famous Australian outlaw known as "the Iron Outlaw"?,He wore homemade armor
7,History,What Aboriginal tool returns to the thrower?,It was used for hunting
7,History,What was the White Australia Policy?,It was progressively dismantled after World War II
7,History,When did the Sydney Opera House open?,It was designed by Jørn Utzon
7,History,Who was the longest-serving Prime Minister of Australia?,He served for over 18 years in total
7,History,What was the name of the ship that brought the first convicts to Australia?,It was the flagship of the First Fleet
7,History,When did Australia adopt the decimal currency system?,It replaced the pound with the dollar
7,History,What was Australia's involvement in the Vietnam War?,Over 60000 Australians served
7,Geography,What is the largest desert in Australia?,It covers parts of Western Australia and South Australia
7,Geography,What is the capital city of Australia?,It was purposely built as the capital
7,Geography,What is the largest coral reef system in the world?,It's located off the coast of Queensland
7,Geography,What is the name of the large red rock in central Australia?,It's sacred to Indigenous Australians
7,Geography,What are the main mountain ranges in eastern Australia?,They run parallel to the east coast
7,Geography,What is the largest island of Australia?,It's separated from the mainland by Bass Strait
7,Geography,What is the name of the sea between Australia and New Zealand?,It's part of the South Pacific Ocean
7,Geography,What is the largest lake in Australia?,It's a salt lake that is usually dry
7,Geography,What is the name of the strait separating Australia from Papua New Guinea?,It's named after Spanish explorer Luis Váez de Torres
7,Geography,What is the lowest point in Australia?,-15 meters below sea level
7,Geography,What is the highest mountain in Australia?,It's 2228 meters high
7,Geography,What is the name of the large bay on the southern coast of Australia?,It has spectacular cliffs
7,Geography,What is the driest inhabited continent on Earth?,It has an average annual rainfall of less than 600mm
7,Geography,What is the largest river system in Australia?,It covers one-seventh of Australia's land area
7,Geography,What is the largest city in Australia by population?,It's famous for its harbor and opera house
7,Geography,What is the name of the sea to the north of Australia?,It's between Australia and New Guinea
7,Geography,What is the western-most point of mainland Australia?,It's in Western Australia
7,Geography,What is the name of the large gulf on the north coast of Australia?,It's bounded by Cape York Peninsula and Arnhem Land
7,Geography,What is the name of the process that forms Australia's Great Barrier Reef?,It involves tiny marine organisms building calcium carbonate structures
7,Geography,What percentage of Australia is classified as desert?,Australia is the driest inhabited continent
8,Math,What is the value of 2³ x 3²?,Calculate the powers first
8,Math,Solve for x: 3x - 7 = 14,Add 7 to both sides
8,Math,What is the area of a circle with radius 5cm?,Use the formula A = πr²
8,Math,Simplify: 2(3x - 4) + 5x,Distribute the 2 first
8,Math,What is the square root of 144?,This is a perfect square
8,Math,What is the value of y in the equation y = 3x + 2 when x = 4?,Substitute x = 4 into the equation
8,Math,What is the sum of interior angles in a quadrilateral?,This is a fundamental property of quadrilaterals
8,Math,What is the product of -3 and -7?,Remember that negative x negative = positive
8,Math,What is 3/4 divided by 1/2?,Multiply by the reciprocal of the divisor
8,Math,What is the Pythagorean theorem?,It relates the sides of a right triangle
8,Math,What is the greatest common factor (GCF) of 24 and 36?,Find the largest number that divides both numbers
8,Math,What is the volume of a cube with side length 4cm?,Use the formula V = s³
8,Math,Solve for x: 2(x + 3) = 16,Divide both sides by 2 after distributing
8,Math,What is the equation of a line with slope 2 and y-intercept 3?,Use the slope-intercept form y = mx + b
8,Math,What is the value of 2^8?,Multiply 2 by itself 8 times
8,Math,What is the complementary angle to 35°?,Complementary angles sum to 90°
8,Math,What is the circumference of a circle with diameter 10cm?,Use the formula C = πd
8,Math,What is the value of 5^0?,Any number raised to the power of 0 equals 1
8,Math,What is the probability of rolling a 6 on a standard die?,There are 6 possible outcomes
8,Math,What is the slope of a line passing through (2 5) and (4 9)?,Use the formula (y₂-y₁)/(x₂-x₁)
8,Science,What is the chemical formula for water?,It contains hydrogen and oxygen
8,Science,What is the smallest unit of an element that still retains its properties?,It consists of protons neutrons and electrons
8,Science,What is the process by which plants release water vapor?,It occurs mainly through the leaves
8,Science,What are the three particles that make up an atom?,They have different charges
8,Science,What is the unit of electrical resistance?,It's represented by the Greek letter omega (Ω)
8,Science,What is the process of a liquid changing to a gas called?,It occurs at the surface of the liquid
8,Science,What is the name of the force that opposes motion between two surfaces?,It converts kinetic energy to heat
8,Science,What is the human body's largest organ by weight?,It detoxifies chemicals and metabolizes drugs
8,Science,What is the chemical symbol for gold?,It comes from the Latin word "aurum"
8,Science,What type of energy is stored in an object due to its position?,It can be converted to kinetic energy
8,Science,What is the difference between an acid and a base?,Think about the pH scale
8,Science,What is the boiling point of water at standard atmospheric pressure?,It's 212°F
8,Science,What are the main components of the respiratory system?,They facilitate gas exchange
8,Science,What is the process of meiosis?,It's important for sexual reproduction
8,Science,What is the name of the closest star to Earth?,It's about 150 million km away
8,Science,What are the main components of blood?,Red... White...
8,Science,What are the main components of blood?,Each has a specific function
8,Science,What is the study of heredity and variation in organisms?,It involves genes and DNA
8,Science,What is the Earth's outermost layer called?,It's the thinnest layer
8,Science,What is the most abundant gas in the Earth's atmosphere?,It makes up about 78% of the air
8,Science,What is Newton's First Law of Motion?,Also known as the law of inertia
8,English,What is the main purpose of a thesis statement?,It usually appears at the end of the introduction
8,English,What is the difference between a phrase and a clause?,Clauses can be independent or dependent
8,English,What is the present perfect tense?,It connects the past to the present
8,English,What is the meaning of the word "juxtapose"?,It helps highlight similarities or differences
8,English,What is the function of a semicolon?,It's stronger than a comma but weaker than a period
8,English,What is the difference between active and passive voice?,"The cat chased the mouse" vs "The mouse was chased by the cat"
8,English,What is a rhetorical question?,It's used to make a point
8,English,What is the purpose of foreshadowing in literature?,It builds suspense and anticipation
8,English,What is the difference between denotation and connotation?,Home (denotation) vs Home (connotation of comfort and belonging)
8,English,What is an oxymoron?,Examples include "jumbo shrimp" and "act naturally"
8,English,What is the purpose of a conclusion in an essay?,It provides closure to the essay
8,English,What is the difference between first-person and third-person narration?,It affects the perspective of the story
8,English,What is a dangling modifier?,"Running late the bus was missed" (Who was running late?)
8,English,What is the difference between formal and informal language?,Formal language is used in academic writing
8,English,What is the purpose of imagery in poetry?,It appeals to the senses
8,English,What is the difference between a comma splice and a run-on sentence?,Both are grammatical errors
8,English,What is the purpose of a bibliography?,It gives credit to original authors
8,English,What is the difference between "affect" and "effect"?,The effect of the medicine affected her quickly
8,English,What is the purpose of a topic sentence in a paragraph?,It guides the reader
8,English,What is the difference between revision and editing?,Revision comes before editing
8,History,What was the Renaissance?,It began in Italy
8,History,Who was William the Conqueror?,He won the Battle of Hastings in 1066
8,History,What was the Treaty of Versailles?,It was signed in 1919
8,History,What was the Industrial Revolution?,It began in Britain in the late 18th century
8,History,Who was Galileo Galilei?,He improved the telescope
8,History,What was the Boston Tea Party?,Colonists dumped tea into Boston Harbor
8,History,What was the Battle of Waterloo?,It took place in 1815
8,History,Who was Joan of Arc?,She was burned at the stake
8,History,What was the Magna Carta?,It limited the power of the monarch
8,History,What was the Cold War?,It lasted from 1947 to 1991
8,History,Who was Leonardo da Vinci?,He painted the Mona Lisa
8,History,What was the Black Death?,It killed about one-third of Europe's population
